Name,Description,Location,Price,Url,Image
4 Bed Townhouse with En Suite in Kiambu Road,4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,"KSh 250,000",/listings/4-bedroom-townhouse-for-rent-kiambu-road-4-3591740,https://i.roamcdn.net/prop/brk/listing-thumb-376w/0d7ae70977dfd70b92c278975d47fc17/-/prod-property-core-backend-media-brk/5042561/0d335dcf-e41b-4ff8-81a4-0a0928739e45.jpg
6 Bed House with En Suite in Kileleshwa,6 Bed House with En Suite in Kileleshwa,Kileleshwa,"KSh 350,000",/listings/6-bedroom-house-for-rent-kileleshwa-3633842,https://i.roamcdn.net/prop/brk/listing-thumb-376w/edb38afb90aa21985913fbce1db698b9/-/prod-property-core-backend-media-brk/5672550/70a5d016-d866-4fe1-bff9-620f1f1da514.jpg
4 Bed House with En Suite at Kiambu Rd,4 Bed House with En Suite at Kiambu Rd,"01, Kiambu Rd, Kiambu Road","KSh 300,000",/listings/4-bedroom-house-for-rent-kiambu-road-3647593,https://i.roamcdn.net/prop/brk/listing-thumb-376w/09640fad924c0345acae3ba079beef1f/-/prod-property-core-backend-media-brk/5872993/8ec4adb7-c742-4c7d-8d0d-b848d491e060.jpg
3 Bed Townhouse with En Suite at Kileleshwa,3 Bed Townhouse with En Suite at Kileleshwa,Kileleshwa,"KSh 150,000",/listings/3-bedroom-townhouse-for-rent-kileleshwa-3570221,https://i.roamcdn.net/prop/brk/listing-thumb-376w/3a2c57d535ad0826b09e644278e8b365/-/prod-property-core-backend-media-brk/5389280/a5a7f6b4-7fba-4425-805c-39fc7e8a1a7d.jpg
3 Bed House with En Suite at Runda Eliud Mathu,3 Bed House with En Suite at Runda Eliud Mathu,"Runda Eliud mathu, Runda, Westlands","KSh 150,000",/listings/furnished-3-bedroom-house-for-rent-runda-3-3600221,https://i.roamcdn.net/prop/brk/listing-thumb-376w/833244911f7bc0a0feb02fa50e550afd/-/prod-property-core-backend-media-brk/5163115/cb3307bd-bf4e-4d19-a202-49d6b1e32cfa.jpg
3 Bed House with En Suite in Rosslyn,3 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands","KSh 522,500",/listings/3-bedroom-house-for-rent-rosslyn-3649210,https://i.roamcdn.net/prop/brk/listing-thumb-376w/a4bbd8150e9eb11753745d1db589d77d/-/prod-property-core-backend-media-brk/5896453/e8d6bf37-90bc-4a1e-a0f8-23cc6c636e41.jpg
4 Bed House with En Suite in Rosslyn,4 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-rosslyn-3643601,https://i.roamcdn.net/prop/brk/listing-thumb-376w/a08fb732764926c557bd6ddc26d521a9/-/prod-property-core-backend-media-brk/5814420/152bc26a-54b9-4c87-b876-795569aee3f7.jpg
6 Bed Villa with En Suite at Lavington,6 Bed Villa with En Suite at Lavington,Lavington,"KSh 725,000",/listings/6-bedroom-villa-for-rent-lavington-3630632,https://i.roamcdn.net/prop/brk/listing-thumb-376w/0a700c04e3f37c78568f4f027007e670/-/prod-property-core-backend-media-brk/5623945/59b1a5f2-22f4-48a5-beb1-f971570ba4bf.jpeg
4 Bed House with En Suite at Kitisuru,4 Bed House with En Suite at Kitisuru,"Kitisuru, Westlands",Price not communicated,/listings/4-bedroom-house-for-rent-kitisuru-3627501,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f45e8e187aac4a801e52432675ec19f3/-/prod-property-core-backend-media-brk/5577055/56392cb9-3078-4105-8cc4-77bcc393186c.jpeg
3 Bed Townhouse with En Suite in Membley,3 Bed Townhouse with En Suite in Membley,"Membley, Ruiru","KSh 60,000",/listings/3-bedroom-townhouse-for-rent-membley-3646382,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1af99a2a0a0147fa6928e2168ce222fe/-/prod-property-core-backend-media-brk/5855379/a177ddc4-d63e-4290-a0c7-94eb6553de76.jpg
